q1 : 0 , q2 : 0 , collision
q1 : 0 , q2 : 1 , collision
q1 : 0 , q2 : 2 , collision
q1 : 0 , q2 : 3 , collision
q1 : 0 , q2 : 4 , collision
q1 : 0 , q2 : 5 , collision
q1 : 0 , q2 : 6 , collision
q1 : 0 , q2 : 7 , collision
q1 : 0 , q2 : 8 , collision
q1 : 0 , q2 : 9 , collision
q1 : 0 , q2 : 10 , collision
q1 : 0 , q2 : 11 , collision
q1 : 0 , q2 : 12 , collision
q1 : 0 , q2 : 13 , collision
q1 : 0 , q2 : 14 , collision
q1 : 0 , q2 : 15 , collision
q1 : 0 , q2 : 16 , collision
q1 : 0 , q2 : 17 , collision
q1 : 0 , q2 : 18 , collision
q1 : 0 , q2 : 19 , collision
q1 : 0 , q2 : 20 , collision
q1 : 0 , q2 : 21 , collision
q1 : 0 , q2 : 22 , collision
q1 : 0 , q2 : 23 , collision
q1 : 0 , q2 : 337 , collision
q1 : 0 , q2 : 338 , collision
q1 : 0 , q2 : 339 , collision
q1 : 0 , q2 : 340 , collision
q1 : 0 , q2 : 341 , collision
q1 : 0 , q2 : 342 , collision
q1 : 0 , q2 : 343 , collision
q1 : 0 , q2 : 344 , collision
q1 : 0 , q2 : 345 , collision
q1 : 0 , q2 : 346 , collision
q1 : 0 , q2 : 347 , collision
q1 : 0 , q2 : 348 , collision
q1 : 0 , q2 : 349 , collision
q1 : 0 , q2 : 350 , collision
q1 : 0 , q2 : 351 , collision
q1 : 0 , q2 : 352 , collision
q1 : 0 , q2 : 353 , collision
q1 : 0 , q2 : 354 , collision
q1 : 0 , q2 : 355 , collision
q1 : 0 , q2 : 356 , collision
q1 : 0 , q2 : 357 , collision
q1 : 0 , q2 : 358 , collision
q1 : 0 , q2 : 359 , collision
q1 : 1 , q2 : 0 , collision
q1 : 1 , q2 : 1 , collision
q1 : 1 , q2 : 2 , collision
q1 : 1 , q2 : 3 , collision
q1 : 1 , q2 : 4 , collision
q1 : 1 , q2 : 5 , collision
q1 : 1 , q2 : 6 , collision
q1 : 1 , q2 : 7 , collision
q1 : 1 , q2 : 8 , collision
q1 : 1 , q2 : 9 , collision
q1 : 1 , q2 : 10 , collision
q1 : 1 , q2 : 11 , collision
q1 : 1 , q2 : 12 , collision
q1 : 1 , q2 : 13 , collision
q1 : 1 , q2 : 14 , collision
q1 : 1 , q2 : 15 , collision
q1 : 1 , q2 : 16 , collision
q1 : 1 , q2 : 17 , collision
q1 : 1 , q2 : 18 , collision
q1 : 1 , q2 : 19 , collision
q1 : 1 , q2 : 20 , collision
q1 : 1 , q2 : 21 , collision
q1 : 1 , q2 : 335 , collision
q1 : 1 , q2 : 336 , collision
q1 : 1 , q2 : 337 , collision
q1 : 1 , q2 : 338 , collision
q1 : 1 , q2 : 339 , collision
q1 : 1 , q2 : 340 , collision
q1 : 1 , q2 : 341 , collision
q1 : 1 , q2 : 342 , collision
q1 : 1 , q2 : 343 , collision
q1 : 1 , q2 : 344 , collision
q1 : 1 , q2 : 345 , collision
q1 : 1 , q2 : 346 , collision
q1 : 1 , q2 : 347 , collision
q1 : 1 , q2 : 348 , collision
q1 : 1 , q2 : 349 , collision
q1 : 1 , q2 : 350 , collision
q1 : 1 , q2 : 351 , collision
q1 : 1 , q2 : 352 , collision
q1 : 1 , q2 : 353 , collision
q1 : 1 , q2 : 354 , collision
q1 : 1 , q2 : 355 , collision
q1 : 1 , q2 : 356 , collision
q1 : 1 , q2 : 357 , collision
q1 : 1 , q2 : 358 , collision
q1 : 1 , q2 : 359 , collision
q1 : 2 , q2 : 0 , collision
q1 : 2 , q2 : 1 , collision
q1 : 2 , q2 : 2 , collision
q1 : 2 , q2 : 3 , collision
q1 : 2 , q2 : 4 , collision
q1 : 2 , q2 : 5 , collision
q1 : 2 , q2 : 6 , collision
q1 : 2 , q2 : 7 , collision
q1 : 2 , q2 : 8 , collision
q1 : 2 , q2 : 9 , collision
q1 : 2 , q2 : 10 , collision
q1 : 2 , q2 : 11 , collision
q1 : 2 , q2 : 12 , collision
q1 : 2 , q2 : 13 , collision
q1 : 2 , q2 : 14 , collision
q1 : 2 , q2 : 15 , collision
q1 : 2 , q2 : 16 , collision
q1 : 2 , q2 : 17 , collision
q1 : 2 , q2 : 18 , collision
q1 : 2 , q2 : 19 , collision
q1 : 2 , q2 : 333 , collision
q1 : 2 , q2 : 334 , collision
q1 : 2 , q2 : 335 , collision
q1 : 2 , q2 : 336 , collision
q1 : 2 , q2 : 337 , collision
q1 : 2 , q2 : 338 , collision
q1 : 2 , q2 : 339 , collision
q1 : 2 , q2 : 340 , collision
q1 : 2 , q2 : 341 , collision
q1 : 2 , q2 : 342 , collision
q1 : 2 , q2 : 343 , collision
q1 : 2 , q2 : 344 , collision
q1 : 2 , q2 : 345 , collision
q1 : 2 , q2 : 346 , collision
q1 : 2 , q2 : 347 , collision
q1 : 2 , q2 : 348 , collision
q1 : 2 , q2 : 349 , collision
q1 : 2 , q2 : 350 , collision
q1 : 2 , q2 : 351 , collision
q1 : 2 , q2 : 352 , collision
q1 : 2 , q2 : 353 , collision
q1 : 2 , q2 : 354 , collision
q1 : 2 , q2 : 355 , collision
q1 : 2 , q2 : 356 , collision
q1 : 2 , q2 : 357 , collision
q1 : 2 , q2 : 358 , collision
q1 : 2 , q2 : 359 , collision
q1 : 3 , q2 : 0 , collision
q1 : 3 , q2 : 1 , collision
q1 : 3 , q2 : 2 , collision
q1 : 3 , q2 : 3 , collision
q1 : 3 , q2 : 4 , collision
q1 : 3 , q2 : 5 , collision
q1 : 3 , q2 : 6 , collision
q1 : 3 , q2 : 7 , collision
