q1 : 0 , q2 : 0 , q3 : 30 , q4 : 90 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 30 , q4 : 120 , q5 : 90 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 30 , q4 : 120 , q5 : 120 , q6 : 120 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 60 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 60 , q5 : 150 , q6 : 120 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 90 , q5 : 90 , q6 : 180 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 90 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 90 , q5 : 150 , q6 : 90 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 120 , q5 : 60 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 120 , q5 : 90 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 120 , q5 : 120 , q6 : 90 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 120 , q5 : 150 , q6 : 60 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 150 , q5 : 60 , q6 : 120 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 150 , q5 : 90 , q6 : 90 , collision
q1 : 0 , q2 : 0 , q3 : 60 , q4 : 150 , q5 : 120 , q6 : 60 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 30 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 60 , q5 : 90 , q6 : 180 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 60 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 60 , q5 : 150 , q6 : 90 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 60 , q6 : 180 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 90 , q6 : 180 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 0 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 30 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 60 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 90 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 120 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 150 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 180 , collision
q1 : 0 , q2 : 0 , q3 : 90 , q4 : 90 , q5 : 120 , q6 : 210 , collision
